Activity,DietPreference,SleepHours,Age,RecommendedDiet
Medium,Vegan,8.4,45,Balanced
Medium,Non-Veg,4.7,21,Mediterranean
High,Veg,8.4,27,Balanced
Low,Non-Veg,8.8,68,Low Carb
Medium,Veg,9.3,62,Balanced
Medium,Vegan,7.2,35,Balanced
Low,Vegan,6.5,64,Balanced
High,Vegan,5.4,49,High Protein
Low,Vegan,5.5,47,Balanced
High,Vegan,7.0,53,High Protein
Medium,Veg,4.4,26,Balanced
High,Veg,5.8,53,Balanced
Medium,Vegan,7.1,46,Balanced
Low,Non-Veg,7.1,33,Low Carb
Low,Non-Veg,5.5,45,Low Carb
Low,Vegan,5.1,38,Balanced
High,Veg,5.4,64,Balanced
Medium,Non-Veg,6.7,19,Mediterranean
Low,Non-Veg,10.0,63,Low Carb
Low,Non-Veg,8.6,52,Low Carb
Medium,Vegan,7.3,45,Balanced
Low,Non-Veg,7.8,53,Low Carb
Medium,Non-Veg,8.5,48,Mediterranean
Medium,Non-Veg,8.0,50,Mediterranean
Medium,Non-Veg,6.5,40,Mediterranean
Medium,Veg,5.7,58,Balanced
Medium,Vegan,6.8,34,Balanced
High,Vegan,8.5,63,High Protein
Low,Veg,6.6,66,Balanced
High,Veg,5.3,18,Balanced
Low,Vegan,4.4,59,Balanced
High,Non-Veg,6.8,40,Balanced
Medium,Non-Veg,5.5,65,Mediterranean
Low,Vegan,6.3,44,Balanced
Low,Non-Veg,9.2,42,Low Carb
High,Veg,6.9,49,Balanced
High,Non-Veg,5.9,36,Balanced
Low,Non-Veg,7.5,41,Low Carb
High,Non-Veg,9.9,20,Balanced
High,Vegan,6.8,29,High Protein
High,Veg,4.0,52,Balanced
Medium,Non-Veg,8.0,32,Mediterranean
Medium,Vegan,7.5,34,Balanced
High,Non-Veg,7.1,67,Balanced
High,Veg,6.7,49,Balanced
Medium,Non-Veg,5.8,24,Mediterranean
Medium,Veg,9.3,36,Balanced
Low,Non-Veg,4.2,24,Low Carb
Low,Veg,6.5,22,Balanced
Medium,Non-Veg,6.5,57,Mediterranean
High,Veg,8.3,38,Balanced
High,Non-Veg,8.9,65,Balanced
High,Non-Veg,6.7,65,Balanced
High,Vegan,7.3,68,High Protein
Low,Vegan,7.4,64,Balanced
Medium,Veg,8.6,24,Balanced
High,Non-Veg,8.5,54,Balanced
Low,Veg,6.2,40,Balanced
High,Vegan,7.7,28,High Protein
Medium,Veg,7.6,27,Balanced
Low,Veg,6.8,38,Balanced
Medium,Vegan,7.6,58,Balanced
Medium,Non-Veg,7.0,50,Mediterranean
Low,Veg,7.2,37,Balanced
Low,Vegan,5.0,50,Balanced
Low,Non-Veg,5.6,57,Low Carb
Low,Vegan,8.2,52,Balanced
Low,Veg,5.2,51,Balanced
Low,Non-Veg,7.7,53,Low Carb
Low,Non-Veg,6.9,44,Low Carb
High,Vegan,8.5,36,High Protein
Medium,Vegan,8.0,60,Balanced
Low,Vegan,6.3,22,Balanced
High,Non-Veg,6.7,46,Balanced
High,Non-Veg,4.0,27,Balanced
High,Veg,6.8,57,Balanced
Medium,Non-Veg,5.1,30,Mediterranean
Low,Veg,6.7,46,Balanced
High,Vegan,6.0,22,High Protein
Medium,Vegan,5.7,29,Balanced
Medium,Non-Veg,8.8,30,Mediterranean
Medium,Vegan,5.1,39,Balanced
High,Vegan,5.6,57,High Protein
Low,Non-Veg,6.0,32,Low Carb
High,Veg,6.3,30,Balanced
High,Non-Veg,5.7,18,Balanced
Low,Veg,6.5,55,Balanced
Low,Non-Veg,7.5,60,Low Carb
Low,Non-Veg,8.0,62,Low Carb
Medium,Vegan,7.9,69,Balanced
Low,Non-Veg,4.1,18,Low Carb
High,Non-Veg,7.6,28,Balanced
Low,Veg,7.7,60,Balanced
High,Vegan,6.0,57,High Protein
Medium,Veg,9.5,39,Balanced
High,Veg,8.6,52,Balanced
High,Vegan,6.7,68,High Protein
Low,Vegan,6.1,61,Balanced
Low,Vegan,9.5,23,Balanced
High,Non-Veg,7.0,45,Balanced
Low,Vegan,7.1,48,Balanced
Medium,Vegan,7.1,25,Balanced
Medium,Vegan,10.0,22,Balanced
Low,Veg,6.7,59,Balanced
Medium,Veg,7.0,65,Balanced
Low,Non-Veg,5.8,61,Low Carb
High,Veg,6.4,34,Balanced
High,Non-Veg,5.5,55,Balanced
Medium,Veg,5.8,26,Balanced
Low,Vegan,4.3,27,Balanced
Low,Veg,8.3,37,Balanced
Medium,Non-Veg,7.2,31,Mediterranean
High,Veg,7.4,31,Balanced
Medium,Vegan,6.9,43,Balanced
High,Non-Veg,7.1,46,Balanced
Low,Vegan,9.4,66,Balanced
High,Vegan,5.8,44,High Protein
Medium,Non-Veg,7.4,42,Mediterranean
Low,Vegan,7.4,33,Balanced
Medium,Vegan,8.7,53,Balanced
Medium,Veg,7.7,51,Balanced
High,Vegan,7.7,33,High Protein
Medium,Vegan,5.1,50,Balanced
High,Vegan,5.8,20,High Protein
Low,Vegan,5.2,40,Balanced
High,Non-Veg,4.0,28,Balanced
Low,Veg,7.6,65,Balanced
High,Vegan,6.6,35,High Protein
Medium,Vegan,7.6,64,Balanced
High,Non-Veg,7.1,58,Balanced
High,Vegan,7.4,61,High Protein
Low,Non-Veg,9.0,46,Low Carb
Medium,Veg,7.0,67,Balanced
High,Veg,8.0,22,Balanced
Medium,Vegan,6.5,41,Balanced
High,Vegan,8.2,46,High Protein
High,Vegan,5.1,46,High Protein
Medium,Non-Veg,4.2,43,Mediterranean
High,Vegan,10.0,57,High Protein
Medium,Vegan,9.8,20,Balanced
High,Veg,4.1,19,Balanced
Low,Vegan,6.9,42,Balanced
Medium,Veg,7.2,36,Balanced
High,Vegan,8.1,57,High Protein
High,Veg,9.6,19,Balanced
Low,Vegan,5.4,36,Balanced
Medium,Veg,5.5,18,Balanced
High,Non-Veg,7.0,44,Balanced
Low,Veg,5.6,62,Balanced
High,Veg,4.0,69,Balanced
Medium,Veg,6.7,66,Balanced
High,Vegan,8.3,52,High Protein
High,Vegan,7.0,58,High Protein
High,Vegan,7.9,22,High Protein
High,Non-Veg,7.7,55,Balanced
Low,Non-Veg,5.5,21,Low Carb
Low,Veg,7.1,34,Balanced
Medium,Non-Veg,4.7,38,Mediterranean
Low,Veg,6.2,65,Balanced
Low,Veg,7.1,48,Balanced
Medium,Veg,7.0,65,Balanced
Low,Non-Veg,5.1,39,Low Carb
Low,Vegan,5.4,28,Balanced
Medium,Non-Veg,7.4,51,Mediterranean
Medium,Veg,8.2,66,Balanced
Medium,Veg,6.7,32,Balanced
High,Non-Veg,6.6,67,Balanced
High,Veg,8.4,27,Balanced
Medium,Veg,5.8,55,Balanced
Medium,Non-Veg,9.6,49,Mediterranean
Medium,Non-Veg,5.0,65,Mediterranean
High,Non-Veg,8.6,48,Balanced
High,Veg,7.8,54,Balanced
Low,Veg,10.0,61,Balanced
Low,Vegan,5.3,45,Balanced
Medium,Vegan,4.0,48,Balanced
High,Non-Veg,8.9,23,Balanced
High,Vegan,4.8,31,High Protein
High,Veg,7.9,40,Balanced
Medium,Vegan,8.8,33,Balanced
Low,Veg,7.6,42,Balanced
Medium,Non-Veg,7.3,56,Mediterranean
Low,Non-Veg,7.6,19,Low Carb
Low,Veg,8.3,55,Balanced
Medium,Vegan,7.9,58,Balanced
Low,Non-Veg,5.2,56,Low Carb
Low,Non-Veg,9.7,51,Low Carb
High,Vegan,7.1,68,High Protein
Low,Vegan,7.8,57,Balanced
Medium,Veg,8.1,60,Balanced
Medium,Vegan,8.7,42,Balanced
Low,Vegan,8.6,53,Balanced
High,Vegan,7.2,33,High Protein
High,Veg,7.1,35,Balanced
Low,Veg,7.6,30,Balanced
Low,Non-Veg,8.7,54,Low Carb
Medium,Veg,5.3,44,Balanced
Low,Non-Veg,8.0,51,Low Carb
High,Vegan,5.7,28,High Protein
Low,Non-Veg,9.8,18,Low Carb
Medium,Non-Veg,7.6,30,Mediterranean
Medium,Vegan,6.4,47,Balanced
Medium,Non-Veg,7.6,22,Mediterranean
Medium,Veg,7.0,35,Balanced
Medium,Veg,6.8,31,Balanced
Low,Veg,4.3,30,Balanced
Low,Veg,5.5,49,Balanced
Low,Non-Veg,6.8,24,Low Carb
Low,Non-Veg,4.5,25,Low Carb
Medium,Vegan,6.1,67,Balanced
High,Non-Veg,6.3,24,Balanced
Low,Non-Veg,5.8,69,Low Carb
High,Non-Veg,8.2,66,Balanced
Low,Vegan,5.7,33,Balanced
Low,Veg,7.1,60,Balanced
High,Non-Veg,6.5,48,Balanced
Medium,Vegan,6.8,68,Balanced
Low,Vegan,9.4,44,Balanced
Low,Vegan,7.3,50,Balanced
Low,Veg,7.6,46,Balanced
High,Non-Veg,5.9,25,Balanced
Medium,Vegan,7.9,50,Balanced
High,Veg,7.9,58,Balanced
High,Vegan,7.7,36,High Protein
Medium,Vegan,5.2,38,Balanced
High,Vegan,6.1,58,High Protein
Medium,Vegan,9.2,38,Balanced
Low,Vegan,6.0,42,Balanced
Medium,Veg,9.4,59,Balanced
Low,Non-Veg,6.2,40,Low Carb
High,Non-Veg,7.2,28,Balanced
High,Non-Veg,6.7,50,Balanced
Low,Non-Veg,5.7,37,Low Carb
High,Veg,5.8,42,Balanced
Medium,Veg,5.9,43,Balanced
Low,Veg,7.2,57,Balanced
High,Vegan,8.3,69,High Protein
Low,Vegan,7.1,29,Balanced
Medium,Vegan,6.9,49,Balanced
Medium,Non-Veg,8.8,50,Mediterranean
High,Vegan,7.1,27,High Protein
Medium,Non-Veg,6.2,21,Mediterranean
Low,Vegan,5.5,32,Balanced
Medium,Non-Veg,8.9,68,Mediterranean
Low,Vegan,6.5,23,Balanced
Low,Vegan,6.1,44,Balanced
Medium,Veg,6.0,22,Balanced
High,Vegan,8.8,22,High Protein
Medium,Vegan,6.1,35,Balanced
Low,Veg,8.5,45,Balanced
Low,Non-Veg,6.7,52,Low Carb
Medium,Veg,5.2,39,Balanced
High,Veg,6.5,51,Balanced
High,Non-Veg,7.0,21,Balanced
Low,Vegan,6.8,35,Balanced
Low,Non-Veg,6.8,58,Low Carb
High,Vegan,6.5,68,High Protein
Medium,Vegan,5.8,43,Balanced
Low,Non-Veg,7.0,59,Low Carb
Low,Veg,7.8,39,Balanced
High,Non-Veg,4.8,64,Balanced
Medium,Vegan,8.9,50,Balanced
High,Non-Veg,4.0,60,Balanced
Medium,Non-Veg,7.1,31,Mediterranean
Medium,Vegan,7.7,48,Balanced
Medium,Veg,6.1,27,Balanced
Low,Non-Veg,4.0,68,Low Carb
High,Vegan,6.9,41,High Protein
High,Vegan,7.3,38,High Protein
Medium,Non-Veg,5.3,65,Mediterranean
Low,Veg,5.8,25,Balanced
Low,Non-Veg,8.4,49,Low Carb
High,Veg,7.2,48,Balanced
Low,Veg,4.7,51,Balanced
Low,Veg,7.7,40,Balanced
Medium,Veg,5.6,42,Balanced
Low,Non-Veg,5.8,24,Low Carb
Medium,Vegan,7.3,36,Balanced
High,Vegan,7.2,24,High Protein
Low,Vegan,6.4,64,Balanced
High,Vegan,6.2,25,High Protein
High,Vegan,6.6,31,High Protein
Low,Vegan,5.8,18,Balanced
Low,Non-Veg,8.6,30,Low Carb
High,Veg,4.6,20,Balanced
Low,Vegan,6.6,45,Balanced
Medium,Non-Veg,4.8,55,Mediterranean
Medium,Vegan,8.4,68,Balanced
Low,Vegan,6.6,32,Balanced
High,Veg,5.4,53,Balanced
Low,Veg,8.0,20,Balanced
Low,Veg,4.0,21,Balanced
High,Vegan,7.4,22,High Protein
High,Vegan,8.7,67,High Protein
Medium,Vegan,7.3,43,Balanced
High,Veg,6.2,42,Balanced
Medium,Non-Veg,5.1,27,Mediterranean
High,Vegan,8.6,25,High Protein
Low,Vegan,8.4,29,Balanced
Medium,Vegan,6.0,20,Balanced
Medium,Non-Veg,6.1,44,Mediterranean
Medium,Vegan,8.8,67,Balanced
Low,Non-Veg,7.8,40,Low Carb
Low,Vegan,4.3,57,Balanced
Low,Non-Veg,6.7,50,Low Carb
Low,Vegan,6.7,31,Balanced
Low,Veg,7.4,40,Balanced
Medium,Veg,7.0,48,Balanced
Low,Veg,6.2,30,Balanced
Medium,Veg,7.3,29,Balanced
Low,Vegan,6.3,52,Balanced
High,Veg,10.0,35,Balanced
Medium,Non-Veg,7.2,38,Mediterranean
High,Veg,7.0,62,Balanced
Medium,Veg,9.8,64,Balanced
High,Veg,5.0,59,Balanced
Low,Vegan,6.8,18,Balanced
Low,Veg,5.6,55,Balanced
Low,Non-Veg,8.0,58,Low Carb
Medium,Veg,6.3,59,Balanced
High,Veg,7.9,64,Balanced
Low,Veg,7.8,26,Balanced
High,Non-Veg,8.2,40,Balanced
High,Veg,7.8,31,Balanced
Low,Non-Veg,6.7,28,Low Carb
Low,Non-Veg,4.9,24,Low Carb
High,Veg,8.5,48,Balanced
Low,Non-Veg,9.1,41,Low Carb
Low,Vegan,5.6,43,Balanced
Low,Veg,8.1,47,Balanced
Medium,Veg,5.2,51,Balanced
High,Non-Veg,7.3,63,Balanced
High,Non-Veg,7.6,55,Balanced
Medium,Veg,6.4,22,Balanced
High,Vegan,7.1,22,High Protein
Low,Non-Veg,8.3,36,Low Carb
High,Non-Veg,6.8,68,Balanced
Low,Vegan,6.0,55,Balanced
Medium,Vegan,5.2,45,Balanced
Low,Veg,6.4,43,Balanced
High,Vegan,5.2,59,High Protein
High,Veg,6.4,40,Balanced
High,Vegan,6.3,63,High Protein
Medium,Non-Veg,8.2,66,Mediterranean
Medium,Veg,7.1,47,Balanced
High,Veg,10.0,20,Balanced
Low,Veg,4.0,45,Balanced
Medium,Vegan,7.5,50,Balanced
High,Non-Veg,6.3,59,Balanced
High,Veg,5.6,20,Balanced
Medium,Veg,7.0,22,Balanced
Medium,Veg,6.8,36,Balanced
Medium,Veg,8.6,59,Balanced
Low,Non-Veg,7.1,65,Low Carb
Low,Vegan,6.0,18,Balanced
High,Non-Veg,7.5,55,Balanced
Medium,Veg,6.7,26,Balanced
Low,Non-Veg,5.3,22,Low Carb
Medium,Veg,6.6,63,Balanced
High,Vegan,7.3,59,High Protein
Low,Vegan,7.1,51,Balanced
Low,Vegan,7.5,54,Balanced
Low,Veg,6.2,50,Balanced
High,Non-Veg,7.5,42,Balanced
Medium,Vegan,7.2,59,Balanced
Low,Veg,7.2,46,Balanced
High,Veg,7.0,42,Balanced
Medium,Non-Veg,10.0,26,Mediterranean
High,Vegan,8.7,20,High Protein
Medium,Veg,7.4,32,Balanced
High,Non-Veg,5.8,21,Balanced
Medium,Vegan,6.6,62,Balanced
Low,Non-Veg,9.4,55,Low Carb
Medium,Non-Veg,6.2,37,Mediterranean
High,Veg,6.8,66,Balanced
High,Veg,6.7,40,Balanced
Medium,Veg,7.6,54,Balanced
Low,Non-Veg,6.3,64,Low Carb
Low,Veg,7.3,25,Balanced
Medium,Non-Veg,6.4,54,Mediterranean
Medium,Non-Veg,9.0,62,Mediterranean
High,Veg,6.0,50,Balanced
Low,Vegan,8.5,50,Balanced
Medium,Vegan,6.1,24,Balanced
Low,Vegan,5.7,39,Balanced
Medium,Non-Veg,5.9,22,Mediterranean
Medium,Non-Veg,4.4,63,Mediterranean
Low,Non-Veg,7.7,32,Low Carb
Medium,Veg,5.3,38,Balanced
Medium,Non-Veg,6.5,42,Mediterranean
High,Veg,8.1,34,Balanced
Medium,Veg,8.1,67,Balanced
Medium,Vegan,4.9,24,Balanced
Medium,Vegan,7.5,67,Balanced
High,Vegan,8.7,36,High Protein
Low,Veg,6.0,69,Balanced
High,Veg,7.8,24,Balanced
High,Veg,5.3,57,Balanced
Low,Non-Veg,7.6,62,Low Carb
High,Veg,7.2,67,Balanced
Low,Vegan,8.0,41,Balanced
High,Vegan,7.9,28,High Protein
Low,Veg,5.0,58,Balanced
Medium,Veg,7.2,18,Balanced
High,Vegan,9.2,49,High Protein
High,Veg,4.0,57,Balanced
High,Vegan,8.5,61,High Protein
High,Non-Veg,9.4,19,Balanced
Medium,Vegan,4.8,32,Balanced
High,Non-Veg,6.0,38,Balanced
Medium,Veg,7.8,41,Balanced
Medium,Veg,5.7,67,Balanced
Medium,Non-Veg,9.0,34,Mediterranean
Medium,Veg,8.6,64,Balanced
Low,Non-Veg,4.9,69,Low Carb
Low,Veg,5.9,69,Balanced
High,Vegan,8.2,26,High Protein
Low,Veg,8.1,52,Balanced
Low,Vegan,10.0,37,Balanced
High,Vegan,5.7,36,High Protein
High,Non-Veg,9.2,35,Balanced
High,Veg,5.6,37,Balanced
Low,Non-Veg,7.8,47,Low Carb
Low,Veg,8.3,57,Balanced
High,Vegan,4.0,18,High Protein
Medium,Vegan,8.4,41,Balanced
High,Veg,9.1,41,Balanced
Medium,Veg,8.6,64,Balanced
Medium,Non-Veg,10.0,36,Mediterranean
High,Veg,8.4,47,Balanced
High,Veg,6.2,43,Balanced
High,Veg,8.9,59,Balanced
Low,Non-Veg,6.1,61,Low Carb
Medium,Veg,7.1,55,Balanced
Low,Vegan,8.2,46,Balanced
Low,Non-Veg,7.7,30,Low Carb
High,Non-Veg,9.0,21,Balanced
Low,Vegan,10.0,62,Balanced
High,Vegan,5.3,34,High Protein
Medium,Vegan,6.5,50,Balanced
High,Veg,7.5,22,Balanced
Low,Vegan,6.3,45,Balanced
Low,Veg,6.9,41,Balanced
High,Non-Veg,8.2,34,Balanced
High,Non-Veg,8.0,67,Balanced
Low,Vegan,7.4,56,Balanced
Medium,Veg,7.2,65,Balanced
Medium,Vegan,6.7,57,Balanced
High,Vegan,9.1,61,High Protein
Medium,Veg,9.5,63,Balanced
Low,Vegan,8.5,68,Balanced
High,Non-Veg,5.3,28,Balanced
Low,Vegan,6.6,29,Balanced
Low,Veg,7.3,30,Balanced
Medium,Veg,5.6,25,Balanced
High,Non-Veg,7.1,18,Balanced
High,Veg,7.0,26,Balanced
Medium,Veg,8.6,45,Balanced
Low,Non-Veg,6.3,19,Low Carb
Low,Vegan,8.7,31,Balanced
Low,Non-Veg,5.6,30,Low Carb
Low,Vegan,5.8,65,Balanced
High,Non-Veg,6.4,19,Balanced
High,Vegan,7.1,21,High Protein
Medium,Non-Veg,4.0,29,Mediterranean
Medium,Vegan,7.7,65,Balanced
High,Non-Veg,9.6,27,Balanced
High,Vegan,8.0,20,High Protein
Low,Non-Veg,6.7,21,Low Carb
Low,Veg,5.4,23,Balanced
Medium,Vegan,4.3,40,Balanced
High,Non-Veg,4.5,22,Balanced
Medium,Vegan,6.8,67,Balanced
High,Vegan,10.0,20,High Protein
Low,Non-Veg,4.0,27,Low Carb
Medium,Vegan,8.1,60,Balanced
Medium,Non-Veg,6.0,36,Mediterranean
High,Veg,6.5,31,Balanced
Low,Vegan,5.6,38,Balanced
Medium,Veg,4.9,60,Balanced
Low,Vegan,7.2,45,Balanced
Medium,Vegan,7.4,38,Balanced
Low,Vegan,8.0,53,Balanced
High,Non-Veg,4.5,41,Balanced
Medium,Veg,8.3,55,Balanced
Medium,Vegan,8.3,34,Balanced
Low,Non-Veg,7.6,39,Low Carb
Low,Vegan,6.4,36,Balanced
Medium,Non-Veg,7.5,62,Mediterranean
High,Vegan,6.8,27,High Protein
Low,Veg,8.5,28,Balanced
Low,Veg,6.5,55,Balanced
Low,Vegan,7.2,19,Balanced
Medium,Non-Veg,4.4,50,Mediterranean
Medium,Vegan,7.5,60,Balanced
Medium,Non-Veg,5.9,48,Mediterranean
Medium,Vegan,7.8,65,Balanced
High,Non-Veg,8.2,52,Balanced
High,Veg,6.1,54,Balanced
Medium,Vegan,7.0,64,Balanced
High,Veg,7.3,64,Balanced
Low,Veg,7.6,53,Balanced
Low,Vegan,8.2,40,Balanced
Low,Vegan,8.0,53,Balanced
Medium,Non-Veg,6.4,57,Mediterranean
Low,Non-Veg,9.4,56,Low Carb
High,Veg,8.1,43,Balanced
Medium,Non-Veg,9.1,42,Mediterranean
High,Non-Veg,7.5,34,Balanced
Low,Vegan,7.6,32,Balanced
Low,Non-Veg,6.8,54,Low Carb
Low,Veg,6.3,62,Balanced
Medium,Non-Veg,8.5,21,Mediterranean
High,Veg,7.4,39,Balanced
Medium,Vegan,6.8,34,Balanced
Medium,Veg,5.5,39,Balanced
Low,Non-Veg,9.3,34,Low Carb
Medium,Vegan,7.2,31,Balanced
Medium,Non-Veg,5.2,31,Mediterranean
Low,Vegan,7.1,34,Balanced
Medium,Vegan,6.7,25,Balanced
Low,Non-Veg,6.6,51,Low Carb
Low,Non-Veg,7.9,43,Low Carb
Low,Vegan,6.7,62,Balanced
Low,Vegan,6.5,47,Balanced
Medium,Non-Veg,9.0,39,Mediterranean
Low,Veg,4.4,33,Balanced
Low,Non-Veg,6.9,47,Low Carb
Medium,Vegan,8.4,33,Balanced
Medium,Non-Veg,7.9,55,Mediterranean
High,Veg,8.5,41,Balanced
Medium,Non-Veg,10.0,53,Mediterranean
Medium,Vegan,9.5,52,Balanced
High,Non-Veg,5.3,23,Balanced
Medium,Vegan,4.6,21,Balanced
Medium,Vegan,7.5,35,Balanced
Medium,Non-Veg,5.0,23,Mediterranean
Medium,Vegan,4.1,43,Balanced
High,Vegan,7.5,54,High Protein
Medium,Veg,7.9,44,Balanced
Medium,Veg,9.6,58,Balanced
High,Veg,8.2,28,Balanced
Low,Veg,9.9,55,Balanced
High,Vegan,7.5,33,High Protein
Low,Non-Veg,5.3,36,Low Carb
High,Vegan,8.2,60,High Protein
High,Vegan,9.0,32,High Protein
Medium,Vegan,7.6,43,Balanced
Low,Non-Veg,9.2,58,Low Carb
Medium,Veg,6.8,48,Balanced
Low,Vegan,7.8,36,Balanced
High,Vegan,6.7,68,High Protein
High,Veg,10.0,41,Balanced
Low,Vegan,8.3,26,Balanced
Medium,Non-Veg,5.3,40,Mediterranean
Medium,Vegan,9.8,21,Balanced
Medium,Vegan,5.9,27,Balanced
Medium,Veg,7.0,26,Balanced
High,Vegan,7.7,36,High Protein
High,Vegan,7.8,32,High Protein
High,Non-Veg,7.7,68,Balanced
High,Veg,5.3,51,Balanced
High,Veg,7.7,59,Balanced
Medium,Non-Veg,8.7,36,Mediterranean
Medium,Vegan,8.6,66,Balanced
Medium,Veg,5.0,69,Balanced
Medium,Veg,6.0,38,Balanced
High,Vegan,5.4,51,High Protein
High,Vegan,7.5,68,High Protein
High,Veg,4.7,34,Balanced
Low,Vegan,5.3,35,Balanced
Medium,Veg,6.0,34,Balanced
Medium,Vegan,4.3,19,Balanced
High,Vegan,7.0,68,High Protein
Medium,Non-Veg,4.0,18,Mediterranean
Medium,Vegan,7.7,60,Balanced
High,Non-Veg,6.4,27,Balanced
Low,Vegan,6.1,54,Balanced
Low,Veg,6.3,65,Balanced
Low,Veg,6.9,22,Balanced
High,Vegan,7.9,29,High Protein
Medium,Vegan,9.0,53,Balanced
High,Veg,8.5,48,Balanced
High,Vegan,10.0,55,High Protein
Medium,Non-Veg,8.0,68,Mediterranean
Low,Non-Veg,7.2,26,Low Carb
Low,Non-Veg,6.3,61,Low Carb
High,Non-Veg,6.4,43,Balanced
Low,Non-Veg,7.8,32,Low Carb
High,Vegan,5.5,33,High Protein
High,Vegan,7.3,30,High Protein
Medium,Non-Veg,7.0,42,Mediterranean
Medium,Vegan,5.9,47,Balanced
Medium,Vegan,5.4,24,Balanced
High,Non-Veg,10.0,69,Balanced
Medium,Vegan,4.9,21,Balanced
Low,Vegan,6.9,60,Balanced
Low,Vegan,8.8,57,Balanced
High,Non-Veg,7.8,55,Balanced
High,Vegan,6.3,47,High Protein
Medium,Veg,5.2,27,Balanced
High,Veg,7.2,47,Balanced
High,Non-Veg,4.0,56,Balanced
Low,Veg,7.3,24,Balanced
Low,Non-Veg,7.1,53,Low Carb
Medium,Veg,8.6,52,Balanced
High,Veg,5.3,41,Balanced
High,Veg,6.5,56,Balanced
Low,Non-Veg,7.7,53,Low Carb
High,Non-Veg,7.3,62,Balanced
Low,Vegan,5.0,37,Balanced
Medium,Non-Veg,6.0,66,Mediterranean
Low,Veg,9.1,49,Balanced
High,Veg,7.4,56,Balanced
Medium,Non-Veg,4.5,66,Mediterranean
Low,Non-Veg,8.3,43,Low Carb
Low,Non-Veg,4.6,43,Low Carb
Medium,Vegan,6.5,53,Balanced
Medium,Veg,7.8,60,Balanced
Low,Vegan,8.8,52,Balanced
High,Vegan,4.0,60,High Protein
Low,Veg,8.1,52,Balanced
Medium,Veg,8.3,29,Balanced
Low,Non-Veg,6.2,50,Low Carb
Medium,Non-Veg,7.1,53,Mediterranean
Medium,Vegan,4.0,31,Balanced
High,Non-Veg,4.0,50,Balanced
Medium,Non-Veg,8.7,63,Mediterranean
Medium,Veg,6.2,62,Balanced
High,Veg,6.5,62,Balanced
Medium,Non-Veg,7.4,41,Mediterranean
High,Veg,6.5,32,Balanced
High,Non-Veg,6.3,48,Balanced
Medium,Veg,7.6,34,Balanced
Medium,Veg,4.8,29,Balanced
Low,Veg,8.7,39,Balanced
High,Veg,6.7,40,Balanced
Low,Non-Veg,5.5,43,Low Carb
Medium,Vegan,5.3,31,Balanced
Low,Veg,7.1,29,Balanced
High,Non-Veg,6.5,67,Balanced
Low,Non-Veg,4.7,21,Low Carb
High,Veg,6.1,63,Balanced
Medium,Vegan,5.8,68,Balanced
Medium,Veg,8.9,30,Balanced
High,Non-Veg,7.2,35,Balanced
Medium,Vegan,9.4,60,Balanced
Medium,Non-Veg,5.9,45,Mediterranean
Medium,Veg,6.6,55,Balanced
Medium,Vegan,7.6,58,Balanced
High,Non-Veg,7.9,61,Balanced
Low,Non-Veg,8.1,36,Low Carb
Low,Non-Veg,5.7,63,Low Carb
Medium,Veg,5.7,64,Balanced
Low,Vegan,6.5,60,Balanced
Low,Veg,9.2,55,Balanced
Medium,Veg,5.5,63,Balanced
Medium,Veg,6.2,20,Balanced
Low,Vegan,8.1,36,Balanced
High,Veg,8.0,37,Balanced
Medium,Veg,7.8,42,Balanced
High,Veg,7.1,28,Balanced
Low,Veg,5.4,34,Balanced
Medium,Non-Veg,6.0,66,Mediterranean
High,Veg,8.7,52,Balanced
Medium,Non-Veg,8.2,31,Mediterranean
Low,Veg,5.0,56,Balanced
High,Vegan,8.3,36,High Protein
Low,Non-Veg,9.0,20,Low Carb
Low,Non-Veg,7.1,51,Low Carb
Medium,Non-Veg,7.6,66,Mediterranean
High,Non-Veg,8.5,58,Balanced
Low,Vegan,6.0,39,Balanced
Low,Veg,10.0,55,Balanced
High,Non-Veg,8.8,44,Balanced
Low,Vegan,7.8,38,Balanced
Low,Non-Veg,6.9,58,Low Carb
High,Veg,7.7,48,Balanced
High,Non-Veg,4.7,44,Balanced
High,Vegan,10.0,54,High Protein
High,Veg,8.7,19,Balanced
Medium,Vegan,9.2,64,Balanced
High,Veg,7.0,26,Balanced
Medium,Veg,6.5,36,Balanced
Medium,Veg,6.0,59,Balanced
Medium,Non-Veg,8.2,53,Mediterranean
Low,Vegan,6.2,27,Balanced
Medium,Vegan,6.7,57,Balanced
Medium,Vegan,7.8,62,Balanced
Low,Veg,6.0,56,Balanced
Low,Non-Veg,8.6,24,Low Carb
Low,Veg,7.0,21,Balanced
High,Vegan,4.7,32,High Protein
Low,Non-Veg,6.0,29,Low Carb
Low,Non-Veg,9.0,65,Low Carb
Medium,Non-Veg,5.6,23,Mediterranean
Low,Vegan,8.3,26,Balanced
High,Non-Veg,7.2,52,Balanced
Low,Non-Veg,6.7,25,Low Carb
High,Veg,10.0,24,Balanced
Low,Veg,5.1,21,Balanced
Low,Non-Veg,5.9,30,Low Carb
Low,Non-Veg,7.0,36,Low Carb
Low,Veg,10.0,24,Balanced
High,Veg,7.0,27,Balanced
High,Veg,7.4,42,Balanced
Medium,Vegan,6.5,61,Balanced
High,Vegan,7.5,52,High Protein
Low,Veg,6.6,42,Balanced
Medium,Non-Veg,8.0,46,Mediterranean
Medium,Veg,8.2,29,Balanced
